"officialFeatureId";"id";"lavNumber";"name";"type";"result";"score";"distanceM";"nameScore";"groupSize";"winnerMargin";"tier";"reason"
"StandingWater_DESTGEOTR100fHY8";"6-400-14-gruner-teich-bei-tornitz";"6-400-14";"Grüner Teich bei Tornitz";"Teich";"review";"0.000";"476.9";"0.000";"4";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 4 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOTR100fHY8";"6-400-15-pappelteich-bei-tornitz";"6-400-15";"Pappelteich bei Tornitz";"Teich";"review";"0.000";"476.9";"0.000";"4";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 4 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOTR100fHY8";"6-400-34-kiessee-tornitz";"6-400-34";"Kiessee Tornitz";"Kiesgrube";"review";"0.000";"476.9";"0.000";"4";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 4 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"Watercourse_DESTGEOTR10087XO_lin";"6-400-24-saalealtarm-tippelskirchen";"6-400-24";"Saalealtarm Tippelskirchen";"Fließgewässer";"review";"0.712";"2.8";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"Watercourse_DESTGEOTR10087XO_lin";"11-310-05-unstrut-von-landesgrenze-thuringen";"11-310-05";"Unstrut von Landesgrenze Thüringen";"Fließgewässer";"review";"0.712";"2.8";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"Watercourse_DESTGEOT00002CL1_lin";"6-400-30-kuchenpfuhl-elbenau";"6-400-30";"Küchenpfuhl Elbenau";"Fließgewässer";"review";"0.474";"85.4";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"Watercourse_DESTGEOT00002CL1_lin";"6-400-33-stilles-wasser-elbenau";"6-400-33";"Stilles Wasser Elbenau";"Fließgewässer";"review";"0.474";"85.4";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00002e7u";"6-400-36-angerteich-in-glothe";"6-400-36";"Angerteich in Glöthe";"Teich";"review";"0.671";"17.1";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00002e7u";"6-400-47-tonlocher-glothe";"6-400-47";"Tonlöcher Glöthe";"See";"review";"0.671";"17.1";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00002Yvu";"6-400-44-kirchbreite-bei-barby";"6-400-44";"Kirchbreite bei Barby";"See";"review";"0.000";"444.4";"0.000";"3";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00002Yvu";"6-402-01-dolphus-bei-barby";"6-402-01";"Dolphus bei Barby";"See";"review";"0.000";"444.4";"0.000";"3";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00002Yvu";"6-402-03-hafen-barby";"6-402-03";"Hafen Barby";"See";"review";"0.000";"444.4";"0.000";"3";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00002YuZ";"6-401-02-bruch-2-bei-breitenhagen";"6-401-02";"Bruch 2 bei Breitenhagen";"See";"review";"0.708";"4.3";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00002YuZ";"6-401-03-bruch-3-bei-breitenhagen";"6-401-03";"Bruch 3 bei Breitenhagen";"See";"review";"0.708";"4.3";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00001HaV";"6-410-08-badeteteich-bei-westeregeln";"6-410-08";"Badeteteich bei Westeregeln";"Teich";"review";"0.616";"36.2";"0.000";"3";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00001HaV";"6-410-09-3-kulke-bei-westeregeln";"6-410-09";"3 Kulke bei Westeregeln";"See";"review";"0.616";"36.2";"0.000";"3";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00001HaV";"6-410-10-tagebau-bei-westeregeln";"6-410-10";"Tagebau bei Westeregeln";"Kiesgrube";"review";"0.616";"36.2";"0.000";"3";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
