"officialFeatureId";"id";"lavNumber";"name";"type";"result";"tier";"distanceM";"nameScore";"candidateCount";"gapM";"featureUseCount";"groupMargin";"reason"
"Watercourse_DESTGEOT00005KgU_pol";"8-460-53-alte-elbe-merschwitz";"8-460-53";"Alte Elbe Merschwitz";"Fließgewässer";"review";"v112-flow-review";"14.2";"0.000";"11";"207.5";"1";"1.000";"Fließgewässer erfüllt die strengen v11.2-Kriterien nicht."
"Watercourse_DESTGEOT00005M6I_pol";"8-460-56-booser-graben-vom-booser-ri-zur-elbe";"8-460-56";"Booser Graben vom Booser Riß zur Elbe";"Fließgewässer";"review";"v112-flow-review";"149.0";"0.000";"21";"31.4";"1";"1.000";"Fließgewässer erfüllt die strengen v11.2-Kriterien nicht."
"StandingWater_DESTGEOT00004NMO";"8-460-63-schwarzes-loch-1-3";"8-460-63";"Schwarzes Loch (1-3)";"See";"review";"v112-review";"16.1";"0.000";"7";"645.9";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00005O93";"8-460-73-zahna-von-der-strae-zahna";"8-460-73";"Zahna von der Straße Zahna-";"See";"review";"v112-review";"109.4";"0.000";"2";"307.0";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00001Qv5";"9-150-03-gemeindebad-neptun-helbra";"9-150-03";"Gemeindebad Neptun Helbra";"See";"review";"v112-review";"66.3";"0.000";"4";"443.7";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00001NM2";"9-150-09-grube-bornstedt-neugluck";"9-150-09";"Grube Bornstedt Neuglück";"Kiesgrube";"review";"v112-review";"185.0";"0.000";"1";"9999.0";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT0000ffty";"9-150-19-helmsdorfer-teiche";"9-150-19";"Helmsdorfer Teiche";"Teich";"review";"v112-conflict-review";"2.1";"0.333";"5";"119.4";"2";"0.000";"Amtliches Feature wird von 2 v11-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOT0000ffty";"11-480-06-kaynaer-teiche";"11-480-06";"Kaynaer Teiche";"Teich";"review";"v112-conflict-review";"2.1";"0.333";"5";"119.4";"2";"0.000";"Amtliches Feature wird von 2 v11-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOT0000cdpo";"9-150-21-groes-tonloch-wansleben";"9-150-21";"Großes Tonloch Wansleben";"See";"review";"v112-conflict-review";"428.0";"0.000";"4";"116.8";"2";"0.000";"Amtliches Feature wird von 2 v11-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOT0000cdpo";"10-370-21-salza-von-straenbrucke-wansleben";"10-370-21";"Salza von Straßenbrücke Wansleben/";"See";"review";"v112-conflict-review";"428.0";"0.000";"4";"116.8";"2";"0.000";"Amtliches Feature wird von 2 v11-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOT00001U3z";"9-230-02-tonloch-bei-hettstedt";"9-230-02";"Tonloch bei Hettstedt";"See";"review";"v112-review";"954.2";"0.000";"1";"9999.0";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00001fJ2";"9-390-03-toter-arm-lange-helme-bei";"9-390-03";"Toter Arm „Lange Helme“ bei";"See";"review";"v112-review";"354.2";"0.000";"1";"9999.0";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00000KxV";"9-390-08-schloteich-rottleberode";"9-390-08";"Schloßteich Rottleberode";"Teich";"review";"v112-review";"35.4";"0.480";"2";"431.8";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT0000103M";"9-390-12-teich-karlsrode";"9-390-12";"Teich Karlsrode";"Teich";"review";"v112-review";"405.2";"0.000";"2";"207.6";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00000ryU";"9-390-22-helme-ab-200m-unterhalb-straen";"9-390-22";"Helme ab 200m unterhalb Straßen-";"See";"review";"v112-review";"137.7";"0.000";"3";"252.4";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00004Gvn";"10-210-02-kiesgrube-gansteich-zwintschona";"10-210-02";"Kiesgrube (Gänsteich) Zwintschöna";"Kiesgrube";"review";"v112-review";"105.1";"0.000";"8";"370.7";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00004GvB";"10-210-11-dorfteich-hohenthurm";"10-210-11";"Dorfteich Hohenthurm";"Teich";"review";"v112-review";"297.4";"0.000";"4";"78.1";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
