"id";"lavNumber";"name";"type";"result";"tier";"officialFeatureId";"distanceM";"candidateCount";"nameScore";"gapM";"featureUseCount";"reason"
"8-184-01-roter-see-bei-rotta";"8-184-01";"Roter See bei Rotta";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT00005Cdx";"226.7";"2";"0";"148.9";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"8-250-04-neues-bad-bei-jessen";"8-250-04";"Neues Bad bei Jessen";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT0000exyd";"60.3";"3";"0";"120.4";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"8-251-02-kiestagbau-badesee-bei-prettin";"8-251-02";"Kiestagbau (Badesee) bei Prettin";"Kiesgrube";"review";"v102-standing-review";"StandingWater_DESTGEOT00005PBx";"338";"4";"0";"308.3";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"8-460-01-klinkerteich-bei-bad-schmiedeberg";"8-460-01";"Klinkerteich bei Bad Schmiedeberg";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT00005Ju5";"312.7";"6";"0.364";"146.4";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"8-460-23-moschkolk-bei-wartenburg";"8-460-23";"Moschkolk bei Wartenburg";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT00005Nan";"274.7";"18";"0";"7.9";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"8-460-24-blaues-auge-bei-reinharz";"8-460-24";"Blaues Auge bei Reinharz";"See";"review";"v102-standing-review";"StandingWater_DESTGEOTR100desb";"200.4";"5";"0";"3.3";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"8-460-36-tiefer-kolk-bei-trebitz";"8-460-36";"Tiefer Kolk bei Trebitz";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT00002u3t";"262.9";"1";"0";"9999";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"8-460-40-forsterloch-bei-seegrehna";"8-460-40";"Försterloch bei Seegrehna";"See";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00005xeT";"600.8";"1";"0";"9999";"8";"Dasselbe amtliche Feature wird von 8 neuen Reviews beansprucht; keine automatische Freigabe."
"8-460-43-blumenwinkel-bei-seegrehna";"8-460-43";"Blumenwinkel bei Seegrehna";"See";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00005xeT";"600.8";"1";"0";"9999";"8";"Dasselbe amtliche Feature wird von 8 neuen Reviews beansprucht; keine automatische Freigabe."
"8-460-44-drehkolk-bei-seegrehna";"8-460-44";"Drehkolk bei Seegrehna";"See";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00005xeT";"600.8";"1";"0";"9999";"8";"Dasselbe amtliche Feature wird von 8 neuen Reviews beansprucht; keine automatische Freigabe."
"8-460-45-hauskolk-bei-seegrehna";"8-460-45";"Hauskolk bei Seegrehna";"See";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00005xeT";"600.8";"1";"0";"9999";"8";"Dasselbe amtliche Feature wird von 8 neuen Reviews beansprucht; keine automatische Freigabe."
"8-460-49-groer-see-bleesern-bei-seegrehna";"8-460-49";"Großer See (Bleesern) bei Seegrehna";"See";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00005xeT";"600.8";"1";"0";"9999";"8";"Dasselbe amtliche Feature wird von 8 neuen Reviews beansprucht; keine automatische Freigabe."
"8-460-50-schwarzes-wasser-bei-seegrehna";"8-460-50";"Schwarzes Wasser bei Seegrehna";"See";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00005xeT";"600.8";"1";"0";"9999";"8";"Dasselbe amtliche Feature wird von 8 neuen Reviews beansprucht; keine automatische Freigabe."
"8-460-51-sandebreite-bei-seegrehna";"8-460-51";"Sandebreite bei Seegrehna";"See";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00005xeT";"600.8";"1";"0";"9999";"8";"Dasselbe amtliche Feature wird von 8 neuen Reviews beansprucht; keine automatische Freigabe."
"8-460-67-katzenergel-bei-seegrehna";"8-460-67";"Katzenergel bei Seegrehna";"See";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00005xeT";"600.8";"1";"0";"9999";"8";"Dasselbe amtliche Feature wird von 8 neuen Reviews beansprucht; keine automatische Freigabe."
"9-150-06-marthateich-bei-wansleben";"9-150-06";"Marthateich bei Wansleben";"Teich";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT0000cdpo";"428";"3";"0";"116.8";"2";"Dasselbe amtliche Feature wird von 2 neuen Reviews beansprucht; keine automatische Freigabe."
"9-150-08-restl-tonlocher-ost-bei-wansleben";"9-150-08";"restl. Tonlöcher Ost bei Wansleben";"See";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT0000cdpo";"428";"3";"0";"116.8";"2";"Dasselbe amtliche Feature wird von 2 neuen Reviews beansprucht; keine automatische Freigabe."
