"id";"lavNumber";"name";"type";"result";"locality";"distanceM";"officialName";"candidateCount";"nameScore";"gapM";"reason"
"5-340-17-kiessandtagebau-ditfurt-i";"5-340-17";"Kiessandtagebau Ditfurt I";"Kiesgrube";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-450-01-luttgenbornecke-bei-bornecke";"5-450-01";"Lüttgenbörnecke bei Börnecke";"See";"review";"Börnecke";"311.3";"";"2";"0.000";"68.9";"Neuer Ortsanker 'Börnecke' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"5-450-04-mulmker-parkteiche";"5-450-04";"Mulmker Parkteiche";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-100-01-bruchfeldsee-wilslebener-see";"6-100-01";"Bruchfeldsee (Wilslebener See)";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-100-02-tonkuhle-badetonkuhle-in-aschersleben-a-h-k-pl-ro-s-0-30";"6-100-02";"Tonkuhle (Badetonkuhle) in Aschersleben A, H, K, Pl, Ro, S 0,30";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-100-04-birkenweiher-gatersleben";"6-100-04";"Birkenweiher Gatersleben";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-100-07-hauptseegraben-von-einmundung";"6-100-07";"Hauptseegraben von Einmündung";"Fließgewässer";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-100-10-wipper-von-letzter-brucke-klein";"6-100-10";"Wipper von letzter Brücke Klein";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-110-02-dammloch-beesenlaublingen";"6-110-02";"Dammloch Beesenlaublingen";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-110-05-alter-tagebau-gerlebogk";"6-110-05";"Alter Tagebau Gerlebogk";"Kiesgrube";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
