"id";"lavNumber";"name";"type";"result";"tier";"officialFeatureId";"officialDistanceM";"officialName";"officialCandidateCount";"nameScore";"distanceGapM";"featureUseCount";"reason"
"1-260-09-neues-gewasser-in-klotze";"1-260-09";"Neues Gewässer in Klötze";"See";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-260-11-jeetze-von-dorfstrae-im-amt";"1-260-11";"Jeetze von Dorfstraße im Amt";"Fließgewässer";"review";"v71-no-official-feature";"";"0.7";"";"14";"0.000";"6.4";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-260-12-alte-badeanstalt-bei-jahrstedt";"1-260-12";"Alte Badeanstalt bei Jahrstedt";"See";"review";"v71-no-official-feature";"";"930.3";"";"2";"0.000";"77.8";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-260-13-dorfteich-steimke";"1-260-13";"Dorfteich Steimke";"Teich";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-260-14-ohre-in-steimke";"1-260-14";"Ohre in Steimke";"Fließgewässer";"review";"v71-no-official-feature";"";"743.5";"";"7";"0.000";"94.2";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-260-16-ehemalige-klarteiche-in-kusey";"1-260-16";"ehemalige Klärteiche in Kusey";"Teich";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-260-17-radestucken-neuekrug";"1-260-17";"Radestücken Neuekrug";"See";"review";"v71-no-official-feature";"";"393";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-260-19-groe-rothe-neuferchau";"1-260-19";"Große Röthe Neuferchau";"See";"review";"v71-no-official-feature";"";"513.3";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-260-20-untere-milde-cheinitz";"1-260-20";"Untere Milde Cheinitz";"Fließgewässer";"review";"v71-no-official-feature";"";"22.1";"";"5";"0.000";"23.9";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-260-21-brookbuschteich-immekath";"1-260-21";"Brookbuschteich Immekath";"Teich";"review";"v71-no-official-feature";"";"664";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-380-01-plattensee-bei-winterfeld";"1-380-01";"Plattensee bei Winterfeld";"See";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-380-03-1-tonstich-in-den-beekwiesen";"1-380-03";"1. Tonstich in den Beekwiesen";"See";"review";"v71-no-official-feature";"";"513";"Pfefferteich";"2";"0.000";"456.6";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-380-05-teich-in-langenapel";"1-380-05";"Teich in Langenapel";"Teich";"review";"v71-no-official-feature";"";"5";"";"3";"0.000";"16.8";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-330-24-der-haken-am-hausberg-bei";"2-330-24";"Der Haken am Hausberg bei";"See";"review";"v71-no-official-feature";"";"163.5";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-330-25-schonberger-baggerloch";"2-330-25";"Schönberger Baggerloch";"See";"review";"v71-no-official-feature";"";"21.7";"";"2";"0.000";"52.4";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-330-29-bodenentnahmestelle-losenrade-1";"2-330-29";"Bodenentnahmestelle Losenrade 1";"Fließgewässer";"review";"v71-no-official-feature";"";"1.5";"";"4";"0.000";"4.2";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-330-31-baggersee-feldneuendorf";"2-330-31";"Baggersee Feldneuendorf";"See";"review";"v71-no-official-feature";"";"541.9";"";"4";"0.000";"46.4";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-334-03-wasserkuhle-langes-loch";"2-334-03";"Wasserkuhle Langes Loch";"See";"review";"v71-no-official-feature";"";"38.7";"";"3";"0.000";"117.4";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-334-05-kiesgrube-schwimmbad-bei";"2-334-05";"Kiesgrube Schwimmbad bei";"Kiesgrube";"review";"v71-no-official-feature";"";"163.5";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-334-06-volkes-locher-in-rabel";"2-334-06";"Völkes Löcher in Räbel";"See";"review";"v71-no-official-feature";"";"17.1";"";"3";"0.000";"67.7";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-420-01-kohnsee-kladen";"2-420-01";"Köhnsee Kläden";"See";"review";"v71-no-official-feature";"";"465.3";"";"3";"0.000";"23.7";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-420-02-schludenlanke-elbnebengewasser";"2-420-02";"Schlüdenlanke (Elbnebengewässer)";"See";"review";"v71-no-official-feature";"";"586.9";"";"3";"0.000";"129.3";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-420-05-kiesgrube-schernikau";"2-420-05";"Kiesgrube Schernikau";"Kiesgrube";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-420-07-ziegeleiteich-charlottenhof-bei";"2-420-07";"Ziegeleiteich Charlottenhof bei";"Teich";"review";"v71-no-official-feature";"";"163.5";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-420-09-uchte-von-strae-tornau";"2-420-09";"Uchte von Straße Tornau-";"See";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-420-11-fieber-in-stendal";"2-420-11";"Fieber in Stendal";"See";"review";"v71-no-official-feature";"";"188.6";"Stadtsee";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-421-03-gr-und-kl-parkteich-in-tangerhutte";"2-421-03";"Gr. und Kl. Parkteich in Tangerhütte";"Teich";"review";"v71-no-official-feature";"";"82.9";"";"2";"0.000";"30.4";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-421-07-lehmkuhle-in-cobbel";"2-421-07";"Lehmkuhle in Cobbel";"See";"review";"v71-no-official-feature";"";"699.3";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-421-09-winkelwiesenteich-uchtdorf";"2-421-09";"Winkelwiesenteich Uchtdorf";"Teich";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-422-02-altes-kiesloch-bei-tangermunde";"2-422-02";"Altes Kiesloch bei Tangermünde";"Kiesgrube";"review";"v71-no-official-feature";"";"105.1";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-422-03-neues-kiesloch-bei-tangermunde";"2-422-03";"Neues Kiesloch bei Tangermünde";"Kiesgrube";"review";"v71-no-official-feature";"";"105.1";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-422-04-hartsteinwerke-bei-tangermunde";"2-422-04";"Hartsteinwerke bei Tangermünde";"See";"review";"v71-no-official-feature";"";"105.1";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-422-13-bolsdorfer-tanger";"2-422-13";"Bölsdorfer Tanger";"See";"review";"v71-no-official-feature";"";"382";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-422-14-hafenbecken-tangermunde";"2-422-14";"Hafenbecken Tangermünde";"See";"review";"v71-no-official-feature";"";"105.1";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-423-02-bucher-kl-lanke";"2-423-02";"Bucher kl. Lanke";"See";"review";"v71-no-official-feature";"";"187";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-423-03-bucher-lanke";"2-423-03";"Bucher Lanke";"See";"review";"v71-no-official-feature";"";"187";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"2-426-01-jaeneckes-teiche-bei-stendal";"2-426-01";"Jaeneckes Teiche bei Stendal";"Teich";"review";"v71-no-official-feature";"";"188.6";"Stadtsee";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"3-200-01-sieben-insel-teich-in-flechtingen";"3-200-01";"Sieben-Insel-Teich in Flechtingen";"Teich";"review";"v71-no-official-feature";"";"35.8";"Schloßteich";"3";"0.000";"205.5";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"3-200-02-holzmuhlenteich-in-flechtingen";"3-200-02";"Holzmühlenteich in Flechtingen";"Teich";"review";"v71-no-official-feature";"";"35.8";"Schloßteich";"3";"0.000";"205.5";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"3-200-03-muhlenteich-flechtingen";"3-200-03";"Mühlenteich Flechtingen";"Teich";"review";"v71-no-official-feature";"";"35.8";"Schloßteich";"3";"0.000";"205.5";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"3-200-04-schloteich-in-flechtingen";"3-200-04";"Schloßteich in Flechtingen";"Teich";"review";"v71-no-official-feature";"";"101.8";"Schloßteich";"4";"0.444";"67.2";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"3-200-06-muhlenteich-flechtingen";"3-200-06";"Mühlenteich Flechtingen";"Teich";"review";"v71-no-official-feature";"";"35.8";"Schloßteich";"3";"0.000";"205.5";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"3-200-09-nachtwiese-bei-bebertal";"3-200-09";"Nachtwiese bei Bebertal";"See";"review";"v71-no-official-feature";"";"426.6";"";"2";"0.000";"46.8";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"3-200-10-haidteich-bei-bebertal";"3-200-10";"Haidteich bei Bebertal";"Teich";"review";"v71-no-official-feature";"";"426.6";"";"2";"0.000";"46.8";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"3-200-11-steinbruche-nordhusen";"3-200-11";"Steinbrüche Nordhusen";"See";"review";"v71-no-official-feature";"";"301.9";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"3-200-13-hofteich-bodendorf";"3-200-13";"Hofteich Bodendorf";"Fließgewässer";"review";"v71-no-official-feature";"";"11.1";"";"4";"0.000";"1.4";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"3-200-16-neuer-teich-in-bebertal";"3-200-16";"Neuer Teich in Bebertal";"Teich";"review";"v71-no-official-feature";"";"426.6";"";"2";"0.000";"46.8";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"3-200-30-wiemeckenbruch-bei-belsdorf";"3-200-30";"Wiemeckenbruch bei Belsdorf";"See";"review";"v71-no-official-feature";"";"874.6";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
