"id";"lavNumber";"name";"type";"status";"latitude";"longitude";"osmConfidence";"officialDistanceM";"officialName";"officialFeatureId";"officialType";"officialCandidateCount";"nameScore";"distanceGapM";"reason"
"9-150-05-ottilienteich-bei-roblingen";"9-150-05";"Ottilienteich bei Röblingen";"Teich";"review";"51.4535698";"11.6731185";"0.789";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"9-150-06-marthateich-bei-wansleben";"9-150-06";"Marthateich bei Wansleben";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-150-08-restl-tonlocher-ost-bei-wansleben";"9-150-08";"restl. Tonlöcher Ost bei Wansleben";"See";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-150-09-grube-bornstedt-neugluck";"9-150-09";"Grube Bornstedt Neuglück";"Kiesgrube";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-150-11-minnabad-volkstedt";"9-150-11";"Minnabad Volkstedt";"See";"review";"51.5696092";"11.5423583";"0.847";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"9-150-12-kleinwasserspeicher-ziegelrode";"9-150-12";"Kleinwasserspeicher Ziegelrode";"See";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-150-13-hofteich-in-stedten";"9-150-13";"Hofteich in Stedten";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-150-15-mittelgraben-v-stollengraben-bis";"9-150-15";"Mittelgraben v. Stollengraben bis";"Fließgewässer";"review";"51.6571329";"12.3058934";"0.784";"9.8";"";"Watercourse_DESTGEOT00005hGj_lin";"Watercourse";"5";"0";"27.8";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
"9-150-17-sudlicher-ringkanal-von";"9-150-17";"Südlicher Ringkanal von";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-150-18-tonloch-lauraberg-roblingen";"9-150-18";"Tonloch Lauraberg Röblingen";"See";"review";"51.4535698";"11.6731185";"0.789";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"9-150-19-helmsdorfer-teiche";"9-150-19";"Helmsdorfer Teiche";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-150-21-groes-tonloch-wansleben";"9-150-21";"Großes Tonloch Wansleben";"See";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-150-22-nonnental-hornurg";"9-150-22";"Nonnental Hornurg";"See";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-151-01-rudels-teich-bei-helfta";"9-151-01";"Rüdels Teich bei Helfta";"Teich";"review";"51.5056173";"11.5730922";"0.866";"273.1";"";"StandingWater_DESTGEOT000025Ev";"StandingWater";"2";"0";"41.6";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
"9-230-01-parkteich-in-wiederstedt";"9-230-01";"Parkteich in Wiederstedt";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-230-02-tonloch-bei-hettstedt";"9-230-02";"Tonloch bei Hettstedt";"See";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-230-05-mansfelder-teich";"9-230-05";"Mansfelder Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-230-07-wippertalsperre";"9-230-07";"Wippertalsperre";"See";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-230-08-schaferteich-sylda";"9-230-08";"Schäferteich Sylda";"Teich";"review";"51.679334";"11.4230811";"0.908";"73.9";"";"StandingWater_DESTGEOT00001U3B";"StandingWater";"1";"0";"9999";"Amtliche HY-P-Geometrie liegt nahe am OSM-Kandidaten, aber nicht eindeutig genug für automatische Freigabe."
"9-230-09-dorfteich-sylda";"9-230-09";"Dorfteich Sylda";"Teich";"review";"51.679334";"11.4230811";"0.908";"73.9";"";"StandingWater_DESTGEOT00001U3B";"StandingWater";"1";"0";"9999";"Amtliche HY-P-Geometrie liegt nahe am OSM-Kandidaten, aber nicht eindeutig genug für automatische Freigabe."
"9-230-11-amtsteich-bei-vatterode";"9-230-11";"Amtsteich bei Vatterode";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-230-13-huttenteich-sylda";"9-230-13";"Hüttenteich Sylda";"Teich";"review";"51.679334";"11.4230811";"0.908";"73.9";"";"StandingWater_DESTGEOT00001U3B";"StandingWater";"1";"0";"9999";"Amtliche HY-P-Geometrie liegt nahe am OSM-Kandidaten, aber nicht eindeutig genug für automatische Freigabe."
"9-230-14-dorfteich-greifenhagen";"9-230-14";"Dorfteich Greifenhagen";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-230-15-ochsenpfuhlbachteich-vatterode";"9-230-15";"Ochsenpfuhlbachteich Vatterode";"Teich";"review";"51.5992349";"11.426009";"0.854";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"9-351-01-unterer-hofteich-in-sittichenbach";"9-351-01";"Unterer Hofteich in Sittichenbach";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-351-02-fischteich-rothenschirmbach";"9-351-02";"Fischteich Rothenschirmbach";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-352-01-oberer-hofteich-in-sittichenbach";"9-352-01";"Oberer Hofteich in Sittichenbach";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-390-02-see-hackpuffel";"9-390-02";"See Hackpüffel";"See";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-390-03-toter-arm-lange-helme-bei";"9-390-03";"Toter Arm „Lange Helme“ bei";"See";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-390-08-schloteich-rottleberode";"9-390-08";"Schloßteich Rottleberode";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-390-09-entfallt";"9-390-09";"entfällt";"See";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
