"id";"lavNumber";"name";"district";"status";"candidateSource";"candidateLatitude";"candidateLongitude";"confidence";"note"
"10-370-02-grundel-teich-bei-teutschenthal";"10-370-02";"Gründel Teich bei Teutschenthal";"Saalekreis";"review";"two-source-v6.2-review";"51.4496079";"11.8085724";"0.842";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-03-steinbruch-am-gutzer-berg-bei-landsberg-a-b-h-k-pl-ro-s-3-20";"10-370-03";"Steinbruch am Gützer Berg bei Landsberg A, B, H, K, Pl, Ro, S 3,20";"Saalekreis";"review";"two-source-v6.2-review";"51.4797891";"11.8775744";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-04-schmiedern-am-gutzer-berg";"10-370-04";"Schmiedern am Gützer Berg";"Saalekreis";"review";"two-source-v6.2-review";"51.5307052";"12.1595916";"0.837";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-05-obere-steinbreite-bei-brachwitz";"10-370-05";"Obere Steinbreite bei Brachwitz";"Saalekreis";"review";"two-source-v6.2-review";"51.5392813";"11.8829435";"0.825";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-06-steinbruche-am-spitzberg-bei-landsberg-b-bl-k-pl-ro-0-85";"10-370-06";"Steinbrüche am Spitzberg bei Landsberg B, Bl, K, Pl, Ro 0,85";"Saalekreis";"review";"two-source-v6.2-review";"51.5307052";"12.1595916";"0.837";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-07-ihlau-bei-wettin";"10-370-07";"Ihlau bei Wettin";"Saalekreis";"review";"two-source-v6.2-review";"51.583174";"11.8224962";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-09-steinbruch-bei-niemberg";"10-370-09";"Steinbruch bei Niemberg";"Saalekreis";"review";"two-source-v6.2-review";"51.5499359";"12.0897751";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-10-lauterbachsloch-ii-bei-gimritz";"10-370-10";"Lauterbachsloch II bei Gimritz";"Saalekreis";"review";"two-source-v6.2-review";"51.5673626";"11.8676807";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-11-tonloch-bei-teicha";"10-370-11";"Tonloch bei Teicha";"Saalekreis";"review";"two-source-v6.2-review";"51.5585602";"11.9568734";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"10-370-12-blaues-tonloch-bei-salzmunde";"10-370-12";"Blaues Tonloch bei Salzmünde";"Saalekreis";"review";"two-source-v6.2-review";"51.5255008";"11.8290042";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
