"id";"lavNumber";"name";"type";"result";"tier";"distanceM";"officialName";"candidateCount";"gapM";"nameScore";"reason"
"11-480-18-hasselteich-droyig";"11-480-18";"Hasselteich Droyßig";"Teich";"review";"v9-review";"";"";"0";"";"0.000";"Auch in ±1200 m kein amtliches StandingWater-Feature."
"13-400-01-wolter-1-und-2-bei-randau";"13-400-01";"Wolter 1 und 2 bei Randau";"See";"review";"v9-standing-review";"965.5";"Calenberger See";"5";"112.0";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (965.5 m; Gap 112.0 m)."
"13-400-02-riemer-1-2-und-3-bei-randau";"13-400-02";"Riemer 1, 2 und 3 bei Randau";"See";"review";"v9-standing-review";"965.5";"Calenberger See";"5";"112.0";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (965.5 m; Gap 112.0 m)."
"13-400-03-schloteich-in-randau";"13-400-03";"Schloßteich in Randau";"Teich";"review";"v9-standing-review";"965.5";"Calenberger See";"5";"112.0";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (965.5 m; Gap 112.0 m)."
"13-400-04-langer-see-groer-see-bei-randau";"13-400-04";"Langer See (Großer See) bei Randau";"See";"review";"v9-standing-review";"965.5";"Calenberger See";"5";"112.0";"0.167";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (965.5 m; Gap 112.0 m)."
"13-400-07-kiesbaggerloch-bei-randau";"13-400-07";"Kiesbaggerloch bei Randau";"Kiesgrube";"review";"v9-standing-review";"965.5";"Calenberger See";"5";"112.0";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (965.5 m; Gap 112.0 m)."
"13-400-08-schwarzer-kruger-bei-randau";"13-400-08";"Schwarzer Krüger bei Randau";"See";"review";"v9-standing-review";"965.5";"Calenberger See";"5";"112.0";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (965.5 m; Gap 112.0 m)."
"13-400-09-kaltes-loch-bei-randau";"13-400-09";"Kaltes Loch bei Randau";"See";"review";"v9-standing-review";"965.5";"Calenberger See";"5";"112.0";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (965.5 m; Gap 112.0 m)."
"13-400-10-butz-bei-randau";"13-400-10";"Butz bei Randau";"See";"review";"v9-standing-review";"965.5";"Calenberger See";"5";"112.0";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (965.5 m; Gap 112.0 m)."
"14-210-18-weie-elster-von-straenbrucke";"14-210-18";"Weiße Elster von Straßenbrücke";"See";"review";"v9-review";"";"";"0";"";"0.000";"Auch in ±1200 m kein amtliches StandingWater-Feature."
"14-212-01-groes-posthorn-linksseitig-am";"14-212-01";"Großes Posthorn linksseitig am";"See";"review";"v9-standing-review";"1010.3";"";"2";"155.7";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (1010.3 m; Gap 155.7 m)."
