"id";"lavNumber";"name";"type";"district";"status";"tier";"latitude";"longitude";"confidence";"nameScore";"distanceKm";"candidateName";"locality";"reason"
"1-260-08-langer-teich-immekath";"1-260-08";"Langer Teich Immekath";"Teich";"Altmarkkreis Salzwedel";"review";"unnamed-high";"52.6277652";"11.0816699";"0.932";"0";"0.11";"";"Immekath";"Sehr nahes unbenanntes stehendes Wasser; vor Freigabe konkurrierende Teiche/Fläche prüfen."
"1-260-09-neues-gewasser-in-klotze";"1-260-09";"Neues Gewässer in Klötze";"See";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.622978";"11.1655101";"0.9";"0";"0.52";"";"Klötze";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
"1-260-10-teich-am-ehemaligen";"1-260-10";"Teich am ehemaligen";"Teich";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.6657464";"11.1942592";"0.892";"0";"0.63";"";"Lockstedt";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
"1-260-11-jeetze-von-dorfstrae-im-amt";"1-260-11";"Jeetze von Dorfstraße im Amt";"Fließgewässer";"Altmarkkreis Salzwedel";"review";"flow";"52.7859661";"11.1686674";"0.905";"0";"0.45";"";"Amt";"Fließgewässer benötigt Abschnittsprüfung statt automatischem Mittelpunkt."
"1-260-12-alte-badeanstalt-bei-jahrstedt";"1-260-12";"Alte Badeanstalt bei Jahrstedt";"See";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.5633612";"10.9708505";"0.906";"0";"0.44";"";"Jahrstedt";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
"1-260-13-dorfteich-steimke";"1-260-13";"Dorfteich Steimke";"Teich";"Altmarkkreis Salzwedel";"review";"unnamed-high";"52.58744";"10.963068";"0.921";"0";"0.24";"";"Steimke";"Sehr nahes unbenanntes stehendes Wasser; vor Freigabe konkurrierende Teiche/Fläche prüfen."
"1-260-14-ohre-in-steimke";"1-260-14";"Ohre in Steimke";"Fließgewässer";"Altmarkkreis Salzwedel";"review";"flow-named";"52.6021446";"10.9490976";"0.878";"1";"1.96";"Ohre";"Steimke";"Fließgewässername passt gut; Punkt repräsentiert aber nur einen Abschnitt."
"1-260-15-ohre-in-jahrstedt";"1-260-15";"Ohre in Jahrstedt";"Fließgewässer";"Altmarkkreis Salzwedel";"review";"flow";"52.5557359";"10.9815634";"0.888";"0";"0.67";"";"Jahrstedt";"Fließgewässer benötigt Abschnittsprüfung statt automatischem Mittelpunkt."
"1-260-16-ehemalige-klarteiche-in-kusey";"1-260-16";"ehemalige Klärteiche in Kusey";"Teich";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.5802866";"11.1015091";"0.909";"0";"0.41";"";"Kusey";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
"1-260-17-radestucken-neuekrug";"1-260-17";"Radestücken Neuekrug";"See";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.7786135";"10.8198134";"0.841";"0";"1.3";"";"Neuekrug";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
"1-260-18-dorfteich-dannefeld";"1-260-18";"Dorfteich Dannefeld";"Teich";"Altmarkkreis Salzwedel";"review";"unnamed-high";"52.5076908";"11.1432105";"0.923";"0";"0.23";"";"Dannefeld";"Sehr nahes unbenanntes stehendes Wasser; vor Freigabe konkurrierende Teiche/Fläche prüfen."
"1-260-19-groe-rothe-neuferchau";"1-260-19";"Große Röthe Neuferchau";"See";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.5785765";"11.0840948";"0.836";"0";"1.36";"";"Neuferchau";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
"1-260-20-untere-milde-cheinitz";"1-260-20";"Untere Milde Cheinitz";"Fließgewässer";"Altmarkkreis Salzwedel";"review";"flow";"52.6991031";"11.2520614";"0.916";"0";"0.31";"";"Cheinitz";"Fließgewässer benötigt Abschnittsprüfung statt automatischem Mittelpunkt."
"1-260-21-brookbuschteich-immekath";"1-260-21";"Brookbuschteich Immekath";"Teich";"Altmarkkreis Salzwedel";"review";"unnamed-high";"52.6277652";"11.0816699";"0.932";"0";"0.11";"";"Immekath";"Sehr nahes unbenanntes stehendes Wasser; vor Freigabe konkurrierende Teiche/Fläche prüfen."
"1-260-22-moorgraben-cheinitz-bruchau";"1-260-22";"Moorgraben Cheinitz/Brüchau";"Fließgewässer";"Altmarkkreis Salzwedel";"unmatched";"none";"";"";"";"";"";"";"";"Kein v3-Wasserkandidat vorhanden."
"1-380-01-plattensee-bei-winterfeld";"1-380-01";"Plattensee bei Winterfeld";"See";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.7421551";"11.2416101";"0.91";"0";"0.39";"";"Winterfeld";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
"1-380-03-1-tonstich-in-den-beekwiesen";"1-380-03";"1. Tonstich in den Beekwiesen";"See";"Altmarkkreis Salzwedel";"review";"unnamed-high";"52.8518698";"11.156102";"0.926";"0";"0.18";"";"Salzwedel";"Sehr nahes unbenanntes stehendes Wasser; vor Freigabe konkurrierende Teiche/Fläche prüfen."
"1-380-04-brietzer-teiche";"1-380-04";"Brietzer Teiche";"Teich";"Altmarkkreis Salzwedel";"unmatched";"none";"";"";"";"";"";"";"";"Kein v3-Wasserkandidat vorhanden."
"1-380-05-teich-in-langenapel";"1-380-05";"Teich in Langenapel";"Teich";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.8161811";"10.9622902";"0.914";"0";"0.34";"";"Langenapel";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
