"id";"lavNumber";"name";"type";"result";"tier";"officialFeatureId";"officialDistanceM";"officialCandidateCount";"distanceGapM";"featureUseCount";"reason"
"1-260-20-untere-milde-cheinitz";"1-260-20";"Untere Milde Cheinitz";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT00003rmR_lin";"22.1";"5";"23.9";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"1-260-21-brookbuschteich-immekath";"1-260-21";"Brookbuschteich Immekath";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00003g7U";"664";"1";"9999";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"1-380-01-plattensee-bei-winterfeld";"1-380-01";"Plattensee bei Winterfeld";"See";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"1-380-03-1-tonstich-in-den-beekwiesen";"1-380-03";"1. Tonstich in den Beekwiesen";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00003uAY";"513";"2";"456.6";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"1-380-05-teich-in-langenapel";"1-380-05";"Teich in Langenapel";"Teich";"review";"v72-standing-review";"StandingWater_DESTGEOT00003ibC";"5";"3";"16.8";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"2-330-24-der-haken-am-hausberg-bei";"2-330-24";"Der Haken am Hausberg bei";"See";"review";"v72-conflict";"StandingWater_DESTGEOT000067Cx";"163.5";"1";"9999";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"2-330-25-schonberger-baggerloch";"2-330-25";"Schönberger Baggerloch";"See";"review";"v72-standing-review";"StandingWater_DESTGEOTR100gs3l";"21.7";"2";"52.4";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"2-330-29-bodenentnahmestelle-losenrade-1";"2-330-29";"Bodenentnahmestelle Losenrade 1";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT00004dP5_lin";"1.5";"4";"4.2";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"2-330-31-baggersee-feldneuendorf";"2-330-31";"Baggersee Feldneuendorf";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00004cWg";"541.9";"4";"46.4";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"2-334-03-wasserkuhle-langes-loch";"2-334-03";"Wasserkuhle Langes Loch";"See";"matched";"v72-standing-gap";"StandingWater_DESTGEOT00004nds";"38.7";"3";"117.4";"1";"Konfliktfreies stehendes Gewässer: höchstens 50 m entfernt und mindestens 100 m Vorsprung vor dem nächsten amtlichen Kandidaten."
"2-334-05-kiesgrube-schwimmbad-bei";"2-334-05";"Kiesgrube Schwimmbad bei";"Kiesgrube";"review";"v72-conflict";"StandingWater_DESTGEOT000067Cx";"163.5";"1";"9999";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"2-334-06-volkes-locher-in-rabel";"2-334-06";"Völkes Löcher in Räbel";"See";"matched";"v72-standing-near";"StandingWater_DESTGEOT000067CP";"17.1";"3";"67.7";"1";"Konfliktfreies stehendes Gewässer: höchstens 20 m entfernt und räumlich ausreichend eindeutig."
"2-420-01-kohnsee-kladen";"2-420-01";"Köhnsee Kläden";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00003Wwo";"465.3";"3";"23.7";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"2-420-02-schludenlanke-elbnebengewasser";"2-420-02";"Schlüdenlanke (Elbnebengewässer)";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT000064jS";"586.9";"3";"129.3";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"2-420-05-kiesgrube-schernikau";"2-420-05";"Kiesgrube Schernikau";"Kiesgrube";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"2-420-07-ziegeleiteich-charlottenhof-bei";"2-420-07";"Ziegeleiteich Charlottenhof bei";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT000067Cx";"163.5";"1";"9999";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"2-420-09-uchte-von-strae-tornau";"2-420-09";"Uchte von Straße Tornau-";"See";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"2-420-11-fieber-in-stendal";"2-420-11";"Fieber in Stendal";"See";"review";"v72-conflict";"StandingWater_DESTGEOT000045Tt";"188.6";"1";"9999";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"2-421-03-gr-und-kl-parkteich-in-tangerhutte";"2-421-03";"Gr. und Kl. Parkteich in Tangerhütte";"Teich";"review";"v72-standing-review";"StandingWater_DESTGEOT000044fH";"82.9";"2";"30.4";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"2-421-07-lehmkuhle-in-cobbel";"2-421-07";"Lehmkuhle in Cobbel";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00004eMx";"699.3";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"2-421-09-winkelwiesenteich-uchtdorf";"2-421-09";"Winkelwiesenteich Uchtdorf";"Teich";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"2-422-02-altes-kiesloch-bei-tangermunde";"2-422-02";"Altes Kiesloch bei Tangermünde";"Kiesgrube";"review";"v72-conflict";"StandingWater_DESTGEOT0000eh5b";"105.1";"1";"9999";"4";"Amtliches Feature wird von 4 LAV-Einträgen beansprucht; bleibt Review."
"2-422-03-neues-kiesloch-bei-tangermunde";"2-422-03";"Neues Kiesloch bei Tangermünde";"Kiesgrube";"review";"v72-conflict";"StandingWater_DESTGEOT0000eh5b";"105.1";"1";"9999";"4";"Amtliches Feature wird von 4 LAV-Einträgen beansprucht; bleibt Review."
"2-422-04-hartsteinwerke-bei-tangermunde";"2-422-04";"Hartsteinwerke bei Tangermünde";"See";"review";"v72-conflict";"StandingWater_DESTGEOT0000eh5b";"105.1";"1";"9999";"4";"Amtliches Feature wird von 4 LAV-Einträgen beansprucht; bleibt Review."
"2-422-13-bolsdorfer-tanger";"2-422-13";"Bölsdorfer Tanger";"See";"review";"v72-standing-review";"StandingWater_DESTGEOTR1008wMZ";"382";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
