"id";"lavNumber";"name";"type";"result";"tier";"officialFeatureId";"officialDistanceM";"officialCandidateCount";"distanceGapM";"featureUseCount";"reason"
"5-340-11-kleiner-siebersteinsteich-bei-ballenstedt-b-h-k-pl-s-z-1-80";"5-340-11";"Kleiner Siebersteinsteich bei Ballenstedt B, H, K, Pl, S, Z 1,80";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00001ogu";"448.2";"3";"356.2";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"5-340-12-gondelteich-in-friedrichsbrunn";"5-340-12";"Gondelteich in Friedrichsbrunn";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT000013d8";"305.1";"1";"9999";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"5-340-13-selke-von-kreisgrenze";"5-340-13";"Selke von Kreisgrenze";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT00001rs6_lin";"0.3";"3";"3.7";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"5-340-14-gondelteich-thale";"5-340-14";"Gondelteich Thale";"Teich";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"5-340-15-glockenteich-ballenstedt";"5-340-15";"Glockenteich Ballenstedt";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00001ogu";"448.2";"3";"356.2";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"5-340-16-flottenteich-weddersleben";"5-340-16";"Flottenteich Weddersleben";"Teich";"review";"v72-standing-review";"StandingWater_DESTGEOTR100dmYw";"674.6";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"5-340-18-kiessandtagebau-ditfurt-ii";"5-340-18";"Kiessandtagebau Ditfurt II";"Kiesgrube";"review";"v72-standing-review";"StandingWater_DESTGEOTR100gaf7";"1111.9";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"5-340-19-petersstichel-thale";"5-340-19";"Petersstichel Thale";"See";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"5-340-20-muhlgraben-thale-0-25";"5-340-20";"Mühlgraben Thale 0,25";"Fließgewässer";"review";"v72-conflict";"Watercourse_DESTGEOT00002LqT_lin";"215.6";"4";"11";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"5-340-22-schloteich-ballenstedt";"5-340-22";"Schloßteich Ballenstedt";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00001ogu";"448.2";"3";"356.2";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"5-450-02-groer-schachtteich-bei-wienrode";"5-450-02";"Großer Schachtteich bei Wienrode";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00000Q54";"76.1";"3";"42.3";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"5-450-03-brockenstedter-muhle";"5-450-03";"Brockenstedter Mühle";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00000SrH";"323.7";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"5-450-05-kleiner-schachtteich-bei-wienrode-a-b-h-k-pl-s-z-0-47";"5-450-05";"Kleiner Schachtteich bei Wienrode A, B, H, K, Pl, S, Z 0,47";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00000Q54";"76.1";"3";"42.3";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"5-450-06-wiesenteich-bei-wienrode";"5-450-06";"Wiesenteich bei Wienrode";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00000Q54";"76.1";"3";"42.3";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"6-100-06-tonkuhle-nahry-aschersleben";"6-100-06";"Tonkuhle Nahry Aschersleben";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00001UVB";"573.8";"1";"9999";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"6-100-08-heckenteich-in-gatersleben";"6-100-08";"Heckenteich in Gatersleben";"Teich";"review";"v72-standing-review";"StandingWater_DESTGEOT00001GLG";"33";"2";"58.7";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"6-100-11-gondelteich-aschersleben";"6-100-11";"Gondelteich Aschersleben";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00001UVB";"573.8";"1";"9999";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"6-100-12-kiesgrube-an-der-froser-strae";"6-100-12";"Kiesgrube an der Froser Straße";"Kiesgrube";"review";"v72-conflict";"StandingWater_DESTGEOT00001UVB";"573.8";"1";"9999";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"6-110-01-flanschenteich-bebitz";"6-110-01";"Flanschenteich Bebitz";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00002wbT";"222.9";"1";"9999";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"6-110-03-neues-tonloch-beesenlaublingen";"6-110-03";"Neues Tonloch Beesenlaublingen";"See";"review";"v72-conflict";"StandingWater_DESTGEOT0000d6Pm";"593.9";"4";"67.1";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"6-110-04-altes-tonloch-beesenlaublingen";"6-110-04";"Altes Tonloch Beesenlaublingen";"See";"review";"v72-conflict";"StandingWater_DESTGEOT0000d6Pm";"593.9";"4";"67.1";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"6-110-06-sportplatzteich-gerlebogk";"6-110-06";"Sportplatzteich Gerlebogk";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOTR100ghpl";"280.4";"1";"9999";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"6-110-07-villa-teich-gerlebogk";"6-110-07";"Villa-Teich Gerlebogk";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOTR100ghpl";"280.4";"1";"9999";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"6-110-08-lettenloch-bei-konnern";"6-110-08";"Lettenloch bei Könnern";"See";"matched";"v72-standing-gap";"StandingWater_DESTGEOT00002u3s";"40.2";"1";"9999";"1";"Konfliktfreies stehendes Gewässer: höchstens 50 m entfernt und mindestens 100 m Vorsprung vor dem nächsten amtlichen Kandidaten."
"6-110-10-tonloch-hanse-leau";"6-110-10";"Tonloch Hanse, Leau";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00002wc7";"211.7";"2";"9.2";"5";"Amtliches Feature wird von 5 LAV-Einträgen beansprucht; bleibt Review."
"6-110-11-mariensee-preulitz";"6-110-11";"Mariensee Preußlitz";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00002wc7";"38.7";"2";"182.9";"5";"Amtliches Feature wird von 5 LAV-Einträgen beansprucht; bleibt Review."
"6-110-12-saalealtarm-zwischen-plotzkau";"6-110-12";"Saalealtarm zwischen Plötzkau";"Fließgewässer";"review";"v72-conflict";"Watercourse_DESTGEOT00002aq8_lin";"31.1";"3";"39.7";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"6-110-14-saale-von-kreisgrenze-saalekreis-bis";"6-110-14";"Saale von Kreisgrenze Saalekreis bis";"Fließgewässer";"review";"v72-conflict";"Watercourse_DESTGEOT00005hGj_lin";"9.8";"5";"27.8";"6";"Amtliches Feature wird von 6 LAV-Einträgen beansprucht; bleibt Review."
"6-110-19-taiga-in-grona";"6-110-19";"Taiga in Gröna";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00002wcJ";"50.6";"4";"68.6";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"6-110-20-schwefelteich-bebitz";"6-110-20";"Schwefelteich Bebitz";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00002wbT";"222.9";"1";"9999";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"6-110-21-tonloch-huhn-leau";"6-110-21";"Tonloch Huhn Leau";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00002wc7";"211.7";"2";"9.2";"5";"Amtliches Feature wird von 5 LAV-Einträgen beansprucht; bleibt Review."
"6-110-22-kiesgrube-beesenlaublingen";"6-110-22";"Kiesgrube Beesenlaublingen";"Kiesgrube";"review";"v72-conflict";"StandingWater_DESTGEOT0000d6Pm";"593.9";"4";"67.1";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"6-110-24-alter-ziegeleiteich-baalberge";"6-110-24";"Alter Ziegeleiteich Baalberge";"Teich";"review";"v72-standing-review";"StandingWater_DESTGEOT00002wc8";"259.6";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"6-111-04-bode-vom-beginn-des-muhlgrabens";"6-111-04";"Bode vom Beginn des Mühlgrabens";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOTR100aozM_lin";"9.5";"5";"0.2";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"6-111-11-schachtsee-neugattersleben";"6-111-11";"Schachtsee Neugattersleben";"See";"matched";"v72-standing-near";"StandingWater_DESTGEOT0000dy7Z";"1";"3";"56.3";"1";"Konfliktfreies stehendes Gewässer: höchstens 20 m entfernt und räumlich ausreichend eindeutig."
"6-111-13-saale-von-einmundung-der-fuhne-bis";"6-111-13";"Saale von Einmündung der Fuhne bis";"Fließgewässer";"review";"v72-conflict";"Watercourse_DESTGEOT00005hGj_lin";"9.8";"5";"27.8";"6";"Amtliches Feature wird von 6 LAV-Einträgen beansprucht; bleibt Review."
"6-112-03-saalealtarm-lesewitz-bei-plotzkau";"6-112-03";"Saalealtarm Lesewitz bei Plötzkau";"Fließgewässer";"review";"v72-conflict";"Watercourse_DESTGEOT00002aq8_lin";"31.1";"3";"39.7";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"6-113-02-groer-teich-hinter-der-fahrt-in-preulitz-a-h-k-ro-s-0-30";"6-113-02";"Großer Teich hinter der Fahrt in Preußlitz A, H, K, Ro, S 0,30";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00002wc7";"38.7";"2";"182.9";"5";"Amtliches Feature wird von 5 LAV-Einträgen beansprucht; bleibt Review."
"6-113-03-tonloch-preulitz";"6-113-03";"Tonloch Preußlitz";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00002wc7";"38.7";"2";"182.9";"5";"Amtliches Feature wird von 5 LAV-Einträgen beansprucht; bleibt Review."
"6-400-01-schacht-9-bei-eggersdorf";"6-400-01";"Schacht 9 bei Eggersdorf";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00002e7i";"59.8";"4";"15.5";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"6-400-02-seehof-bei-wespen-barby";"6-400-02";"Seehof bei Wespen-Barby";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00002ABg";"92.4";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"6-400-05-parkteich-bei-brumby";"6-400-05";"Parkteich bei Brumby";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00002e7d";"48.7";"3";"94";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"6-400-06-kohls-see-bei-biere";"6-400-06";"Kohls See bei Biere";"See";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"6-400-09-griebehner-teiche-bei-calbe";"6-400-09";"Griebehner Teiche bei Calbe";"Teich";"review";"v72-standing-review";"StandingWater_DESTGEOT0000essl";"58.1";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"6-400-13-beamtenteich-bei-tornitz";"6-400-13";"Beamtenteich bei Tornitz";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOTR100fHY8";"476.9";"4";"83.1";"4";"Amtliches Feature wird von 4 LAV-Einträgen beansprucht; bleibt Review."
"6-400-14-gruner-teich-bei-tornitz";"6-400-14";"Grüner Teich bei Tornitz";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOTR100fHY8";"476.9";"4";"83.1";"4";"Amtliches Feature wird von 4 LAV-Einträgen beansprucht; bleibt Review."
"6-400-15-pappelteich-bei-tornitz";"6-400-15";"Pappelteich bei Tornitz";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOTR100fHY8";"476.9";"4";"83.1";"4";"Amtliches Feature wird von 4 LAV-Einträgen beansprucht; bleibt Review."
"6-400-23-kiessandtagebau-pommelter-strae";"6-400-23";"Kiessandtagebau Pömmelter Straße";"Kiesgrube";"matched";"v72-standing-gap";"StandingWater_DESTGEOT00002BP5";"45.7";"3";"154.4";"1";"Konfliktfreies stehendes Gewässer: höchstens 50 m entfernt und mindestens 100 m Vorsprung vor dem nächsten amtlichen Kandidaten."
"6-400-24-saalealtarm-tippelskirchen";"6-400-24";"Saalealtarm Tippelskirchen";"Fließgewässer";"review";"v72-conflict";"Watercourse_DESTGEOTR10087XO_lin";"2.8";"5";"25.4";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"6-400-30-kuchenpfuhl-elbenau";"6-400-30";"Küchenpfuhl Elbenau";"Fließgewässer";"review";"v72-conflict";"Watercourse_DESTGEOT00002CL1_lin";"85.4";"2";"225";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"6-400-33-stilles-wasser-elbenau";"6-400-33";"Stilles Wasser Elbenau";"Fließgewässer";"review";"v72-conflict";"Watercourse_DESTGEOT00002CL1_lin";"85.4";"2";"225";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"6-400-34-kiessee-tornitz";"6-400-34";"Kiessee Tornitz";"Kiesgrube";"review";"v72-conflict";"StandingWater_DESTGEOTR100fHY8";"476.9";"4";"83.1";"4";"Amtliches Feature wird von 4 LAV-Einträgen beansprucht; bleibt Review."
"6-400-36-angerteich-in-glothe";"6-400-36";"Angerteich in Glöthe";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00002e7u";"17.1";"5";"20.4";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"6-400-39-tilsschacht-brumby";"6-400-39";"Tilsschacht Brumby";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00002e7d";"584.5";"2";"148.8";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"6-400-43-schachtteich-eggersdorf";"6-400-43";"Schachtteich Eggersdorf";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00002e7i";"59.8";"4";"15.5";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"6-400-44-kirchbreite-bei-barby";"6-400-44";"Kirchbreite bei Barby";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00002Yvu";"444.4";"2";"137.3";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"6-400-47-tonlocher-glothe";"6-400-47";"Tonlöcher Glöthe";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00002e7u";"17.1";"5";"20.4";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"6-401-02-bruch-2-bei-breitenhagen";"6-401-02";"Bruch 2 bei Breitenhagen";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00002YuZ";"4.3";"2";"50.6";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"6-401-03-bruch-3-bei-breitenhagen";"6-401-03";"Bruch 3 bei Breitenhagen";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00002YuZ";"4.3";"2";"50.6";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"6-401-04-badebruch-bei-breitenhagen";"6-401-04";"Badebruch bei Breitenhagen";"See";"matched";"v72-standing-near";"StandingWater_DESTGEOT00002Yv0";"7.2";"2";"47.8";"1";"Konfliktfreies stehendes Gewässer: höchstens 20 m entfernt und räumlich ausreichend eindeutig."
"6-401-07-kleiner-dorfsee-gro-rosenburg";"6-401-07";"Kleiner Dorfsee Groß Rosenburg";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00002YvN";"26.6";"2";"37.9";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"6-401-08-landgraben-von-einmundung-des";"6-401-08";"Landgraben von Einmündung des";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT00002eB9_lin";"7.2";"6";"68.8";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"6-401-09-taube-von-700m-oberhalb-der";"6-401-09";"Taube von 700m oberhalb der";"See";"matched";"v72-standing-near";"StandingWater_DESTGEOTR1008QbS";"11.4";"2";"43.9";"1";"Konfliktfreies stehendes Gewässer: höchstens 20 m entfernt und räumlich ausreichend eindeutig."
"6-402-01-dolphus-bei-barby";"6-402-01";"Dolphus bei Barby";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00002Yvu";"444.4";"2";"137.3";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"6-402-02-barbyer-landgraben-von";"6-402-02";"Barbyer Landgraben von";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT00002fct_lin";"2.3";"5";"14.5";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"6-402-03-hafen-barby";"6-402-03";"Hafen Barby";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00002Yvu";"444.4";"2";"137.3";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"6-410-03-ritterflurteich-bei-stafurt";"6-410-03";"Ritterflurteich bei Staßfurt";"Teich";"review";"v72-standing-review";"StandingWater_DESTGEOT00002bzC";"295";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"6-410-05-tiefbau-jacobsgrube-bei-gro-bornecke-a-b-bl-h-k-pl-s-z-8-12";"6-410-05";"Tiefbau Jacobsgrube bei Groß Börnecke A, B, Bl, H, K, Pl, S, Z 8,12";"Kiesgrube";"review";"v72-standing-review";"StandingWater_DESTGEOT00001Zgc";"32.4";"2";"33.3";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"6-410-08-badeteteich-bei-westeregeln";"6-410-08";"Badeteteich bei Westeregeln";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00001HaV";"36.2";"1";"9999";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"6-410-09-3-kulke-bei-westeregeln";"6-410-09";"3 Kulke bei Westeregeln";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00001HaV";"36.2";"1";"9999";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"6-410-10-tagebau-bei-westeregeln";"6-410-10";"Tagebau bei Westeregeln";"Kiesgrube";"review";"v72-conflict";"StandingWater_DESTGEOT00001HaV";"36.2";"1";"9999";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"6-410-11-groer-schachtsee-bei-wolmirsleben";"6-410-11";"Großer Schachtsee bei Wolmirsleben";"See";"review";"v72-standing-review";"StandingWater_DESTGEOTR100fUGV";"158.1";"2";"176.3";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"6-410-14-bode-vom-wehr-egeln-nord";"6-410-14";"Bode vom Wehr Egeln-Nord";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT00001Yqz_lin";"2";"8";"10.4";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"6-410-15-bode-vom-wehr-rothenforde";"6-410-15";"Bode vom Wehr Rothenförde";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOTR100cDpG_lin";"24.9";"3";"54.6";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"6-410-17-seemann-bei-loderburg";"6-410-17";"Seemann bei Löderburg";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00001Zgf";"15.9";"3";"18.4";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"6-410-19-muhlgraben-von-egeln-nord";"6-410-19";"Mühlgraben von Egeln-Nord";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT00001Yt7_lin";"44.2";"8";"99.3";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"6-410-20-undank-in-loderburg";"6-410-20";"Undank in Löderburg";"See";"review";"v72-conflict";"StandingWater_DESTGEOT00001Zgf";"15.9";"3";"18.4";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"6-410-21-kiesschacht-gusten";"6-410-21";"Kiesschacht Güsten";"Kiesgrube";"review";"v72-standing-review";"StandingWater_DESTGEOT00002bzh";"53.4";"2";"140.6";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"6-410-25-wassergraben-bei-hohenerxleben";"6-410-25";"Wassergräben bei Hohenerxleben";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00002bzq";"74.7";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"6-411-01-laake-bei-loderburg";"6-411-01";"Laake bei Löderburg";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00001XvT";"92.8";"3";"166";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"6-411-03-kreuzteich-loderburg";"6-411-03";"Kreuzteich Löderburg";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00001Zgf";"15.9";"3";"18.4";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"7-120-04-alte-mulde-roitzschjora";"7-120-04";"Alte Mulde Roitzschjora";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT00005rIL_pol";"165.6";"2";"122.9";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"7-120-06-unterer-ziegeleiteich-muldenstein";"7-120-06";"Unterer Ziegeleiteich Muldenstein";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOTR1007PyP_lin";"47.1";"6";"81.9";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"7-120-08-strandbad-sandersdorf";"7-120-08";"Strandbad Sandersdorf";"See";"matched";"v72-standing-gap";"StandingWater_DESTGEOT000050w3";"36.3";"2";"167";"1";"Konfliktfreies stehendes Gewässer: höchstens 50 m entfernt und mindestens 100 m Vorsprung vor dem nächsten amtlichen Kandidaten."
"7-120-12-spittelwasser-jenitz";"7-120-12";"Spittelwasser Jeßnitz";"See";"matched";"v72-standing-near";"StandingWater_DESTGEOTR100e4p3";"15.4";"2";"63.6";"1";"Konfliktfreies stehendes Gewässer: höchstens 20 m entfernt und räumlich ausreichend eindeutig."
"7-120-15-grube-theodor-bei-roitzsch";"7-120-15";"Grube Theodor bei Roitzsch";"Kiesgrube";"review";"v72-conflict";"StandingWater_DESTGEOT0000d0UH";"546.6";"3";"24.4";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"7-120-16-burgermeisterteich-jenitz";"7-120-16";"Bürgermeisterteich Jeßnitz";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT0000fCkn";"672.6";"2";"149.3";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"7-120-17-lober-bei-jenitz";"7-120-17";"Lober bei Jeßnitz";"See";"review";"v72-conflict";"StandingWater_DESTGEOT0000fCkn";"672.6";"2";"149.3";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"7-120-20-altes-wasser-priorau";"7-120-20";"Altes Wasser Priorau";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00005k8T";"92.8";"2";"100.4";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"7-120-23-mulde-von-ca-500m-oberhalb-brucke";"7-120-23";"Mulde von ca. 500m oberhalb Brücke";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOTR10087UW_lin";"30.5";"4";"32.2";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"7-120-24-tagebaurestloch-richard-i";"7-120-24";"Tagebaurestloch Richard I";"Kiesgrube";"review";"v72-standing-review";"StandingWater_DESTGEOT000050vJ";"415.5";"5";"160";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"7-120-27-kiesgrube-salzfurtkapelle";"7-120-27";"Kiesgrube Salzfurtkapelle";"Kiesgrube";"review";"v72-standing-review";"StandingWater_DESTGEOT000050vH";"413";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"7-120-31-kiesgrube-loberitz";"7-120-31";"Kiesgrube Löberitz";"Kiesgrube";"review";"v72-standing-review";"StandingWater_DESTGEOT0000d9lx";"57.5";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"7-120-35-leine-in-bitterfeld-privatstrecke-beachten-ad-d-h-1-66";"7-120-35";"Leine in Bitterfeld Privatstrecke beachten! Ad, D, H 1,66";"See";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"7-120-40-groer-teich-bitterfeld";"7-120-40";"Großer Teich Bitterfeld";"Teich";"review";"v72-standing-review";"StandingWater_DESTGEOTR100h2Vt";"552.7";"2";"83.8";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"7-120-43-dorfteich-thalheim";"7-120-43";"Dorfteich Thalheim";"Teich";"review";"v72-standing-review";"StandingWater_DESTGEOT000050w9";"385.7";"2";"134.6";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"7-120-53-teich-am-park-schrenz";"7-120-53";"Teich am Park Schrenz";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00004Ima";"805.7";"2";"218";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"7-120-54-teich-am-etp-schrenz";"7-120-54";"Teich am ETP Schrenz";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00004Ima";"805.7";"2";"218";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"7-120-55-kragenteich-roitzsch";"7-120-55";"Kragenteich Roitzsch";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT0000d0UH";"546.6";"3";"24.4";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
