"id";"lavNumber";"name";"type";"result";"anchor";"anchorRule";"distanceM";"officialName";"candidateCount";"nameScore";"gapM";"reason"
"7-490-04-nuthe-im-landkreis-anhalt-bitterfeld-a-a-b-bf-d-h-k-pl-19-50-bis-walternienburg-mit-ausnahme-der-strecke-brucke-kameritz-bis-ca-3-km-flussaufwarts-salmostrecken-beachten";"7-490-04";"Nuthe im Landkreis Anhalt-Bitterfeld Ä, A, B, Bf, D, H, K, Pl 19,50 bis Walternienburg mit Ausnahme der Strecke Brücke Kämeritz bis ca. 3 km Flussaufwärts - Salmostrecken beachten!";"See";"review";"ca. 3";"bis";"153.6";"";"2";"0.000";"899.9";"v11-Ortsanker 'ca. 3' (bis) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"7-490-06-bonscher-teich";"7-490-06";"Bonscher Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-491-01-godnitzer-see";"7-491-01";"Gödnitzer See";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"8-180-02-ehemaliger-badeteich-an-der";"8-180-02";"Ehemaliger Badeteich an der";"Teich";"review";"an der";"suffix2";"310.1";"";"10";"0.000";"75.7";"v11-Ortsanker 'an der' (suffix2) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"8-181-01-reudener-grube";"8-181-01";"Reudener Grube";"Kiesgrube";"review";"Grube";"suffix1";"550.7";"";"1";"0.000";"9999.0";"v11-Ortsanker 'Grube' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"8-181-03-muhlenteich-radis";"8-181-03";"Mühlenteich Radis";"Teich";"review";"Radis";"suffix1";"162.0";"";"3";"0.000";"640.6";"v11-Ortsanker 'Radis' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"8-181-04-tagebaurestloch-golpa-ii-gurke";"8-181-04";"Tagebaurestloch Golpa II (Gurke)";"Kiesgrube";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"8-181-13-barbarasee-bei-grafenhainichen-boote";"8-181-13";"Barbarasee bei Gräfenhainichen Boote";"See";"review";"Boote";"suffix1";"480.2";"Großer Goitzschesee";"3";"0.000";"220.6";"v11-Ortsanker 'Boote' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"8-182-01-alte-grube-mohlau";"8-182-01";"Alte Grube Möhlau";"Kiesgrube";"review";"Möhlau";"suffix1";"82.1";"";"4";"0.000";"117.9";"v11-Ortsanker 'Möhlau' (suffix1) liefert amtlichen Kandidaten, aber noch keine sichere Freigabe."
"8-182-02-mohlauer-see";"8-182-02";"Möhlauer See";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
