"id";"lavNumber";"name";"district";"status";"confidence";"method";"latitude";"longitude";"matchedAlias";"candidateName";"distanceKm";"source"
"1-260-08-langer-teich-immekath";"1-260-08";"Langer Teich Immekath";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-260-09-neues-gewasser-in-klotze";"1-260-09";"Neues Gewässer in Klötze";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-260-10-teich-am-ehemaligen";"1-260-10";"Teich am ehemaligen";"Altmarkkreis Salzwedel";"review";"0.537";"overpass-locality";"52.6090579";"11.1375925";"Teich";"Angelteich";"7.63";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-260-11-jeetze-von-dorfstrae-im-amt";"1-260-11";"Jeetze von Dorfstraße im Amt";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-260-12-alte-badeanstalt-bei-jahrstedt";"1-260-12";"Alte Badeanstalt bei Jahrstedt";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-260-13-dorfteich-steimke";"1-260-13";"Dorfteich Steimke";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-260-14-ohre-in-steimke";"1-260-14";"Ohre in Steimke";"Altmarkkreis Salzwedel";"review";"0.961";"overpass-locality";"52.6021446";"10.9490976";"Ohre";"Ohre";"1.96";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-260-15-ohre-in-jahrstedt";"1-260-15";"Ohre in Jahrstedt";"Altmarkkreis Salzwedel";"review";"0.901";"overpass-locality";"52.6021446";"10.9490976";"Ohre";"Ohre";"4.97";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-260-16-ehemalige-klarteiche-in-kusey";"1-260-16";"ehemalige Klärteiche in Kusey";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-260-17-radestucken-neuekrug";"1-260-17";"Radestücken Neuekrug";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-260-18-dorfteich-dannefeld";"1-260-18";"Dorfteich Dannefeld";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-260-19-groe-rothe-neuferchau";"1-260-19";"Große Röthe Neuferchau";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-260-20-untere-milde-cheinitz";"1-260-20";"Untere Milde Cheinitz";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
