"id";"lavNumber";"name";"status";"lat";"lon";"officialDistanceKm";"officialName";"nameScore";"distanceGapKm";"reason"
"1-260-10-teich-am-ehemaligen";"1-260-10";"Teich am ehemaligen";"review";"52.6657464";"11.1942592";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-11-jeetze-von-dorfstrae-im-amt";"1-260-11";"Jeetze von Dorfstraße im Amt";"review";"52.7859661";"11.1686674";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-12-alte-badeanstalt-bei-jahrstedt";"1-260-12";"Alte Badeanstalt bei Jahrstedt";"review";"52.5633612";"10.9708505";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-13-dorfteich-steimke";"1-260-13";"Dorfteich Steimke";"review";"52.58744";"10.963068";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-14-ohre-in-steimke";"1-260-14";"Ohre in Steimke";"review";"52.6021446";"10.9490976";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-15-ohre-in-jahrstedt";"1-260-15";"Ohre in Jahrstedt";"review";"52.5557359";"10.9815634";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-16-ehemalige-klarteiche-in-kusey";"1-260-16";"ehemalige Klärteiche in Kusey";"review";"52.5802866";"11.1015091";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-17-radestucken-neuekrug";"1-260-17";"Radestücken Neuekrug";"review";"52.7786135";"10.8198134";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-18-dorfteich-dannefeld";"1-260-18";"Dorfteich Dannefeld";"review";"52.5076908";"11.1432105";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-19-groe-rothe-neuferchau";"1-260-19";"Große Röthe Neuferchau";"review";"52.5785765";"11.0840948";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-20-untere-milde-cheinitz";"1-260-20";"Untere Milde Cheinitz";"review";"52.6991031";"11.2520614";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-21-brookbuschteich-immekath";"1-260-21";"Brookbuschteich Immekath";"review";"52.6277652";"11.0816699";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-380-01-plattensee-bei-winterfeld";"1-380-01";"Plattensee bei Winterfeld";"review";"52.7421551";"11.2416101";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-380-02-pfefferteich-bei-salzwedel";"1-380-02";"Pfefferteich bei Salzwedel";"review";"52.8502074";"11.1473386";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-380-03-1-tonstich-in-den-beekwiesen";"1-380-03";"1. Tonstich in den Beekwiesen";"review";"52.8518698";"11.156102";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-380-05-teich-in-langenapel";"1-380-05";"Teich in Langenapel";"review";"52.8161811";"10.9622902";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
