"id";"lavNumber";"name";"district";"status";"confidence";"method";"latitude";"longitude";"locality";"candidateName";"distanceKm";"candidateAreaHa"
"7-120-30-feuchtbiotop-holzweiig";"7-120-30";"Feuchtbiotop Holzweißig";"Anhalt-Bitterfeld";"review";"0.908";"locality-water-review";"51.5999745";"12.3046955";"Holzweißig";"";"0.19";""
"7-120-31-kiesgrube-loberitz";"7-120-31";"Kiesgrube Löberitz";"Anhalt-Bitterfeld";"review";"0.83";"locality-water-review";"51.6566928";"12.1623036";"Löberitz";"";"0.67";""
"7-120-32-luthers-linde-muldenstein";"7-120-32";"Luthers Linde Muldenstein";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"Linde Muldenstein";"";"";""
"7-120-34-alte-mulde-in-friedersdorf";"7-120-34";"Alte Mulde in Friedersdorf";"Anhalt-Bitterfeld";"review";"0.906";"locality-water-review";"51.6482387";"12.3629096";"Friedersdorf";"";"0.21";""
"7-120-35-leine-in-bitterfeld-privatstrecke-beachten-ad-d-h-1-66";"7-120-35";"Leine in Bitterfeld Privatstrecke beachten! Ad, D, H 1,66";"Anhalt-Bitterfeld";"review";"0.855";"locality-water-review";"51.7138485";"12.2875305";"H 1,66";"";"0.52";""
"7-120-36-auensee-bei-holzweiig";"7-120-36";"Auensee bei Holzweißig";"Anhalt-Bitterfeld";"review";"0.908";"locality-water-review";"51.5999745";"12.3046955";"Holzweißig";"";"0.19";""
"7-120-38-geerensee-friedersdorf";"7-120-38";"Geerensee Friedersdorf";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"Friedersdorf";"";"";""
"7-120-40-groer-teich-bitterfeld";"7-120-40";"Großer Teich Bitterfeld";"Anhalt-Bitterfeld";"review";"0.85";"locality-water-review";"51.6192197";"12.3325537";"Bitterfeld";"";"0.55";""
"7-120-41-waldteich-thalheim";"7-120-41";"Waldteich Thalheim";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"Thalheim";"";"";""
"7-120-42-tranke-thalheim";"7-120-42";"Tränke Thalheim";"Anhalt-Bitterfeld";"unmatched";"";"";"";"";"Tränke Thalheim";"";"";""
"7-120-43-dorfteich-thalheim";"7-120-43";"Dorfteich Thalheim";"Anhalt-Bitterfeld";"review";"0.902";"locality-water-review";"51.6480236";"12.2284216";"Thalheim";"";"0.23";""
