V28 – 1000 m / complete-name >=60% matching
Base: visually confirmed V22.

Rule:
1. Angelatlas/LAV reference point.
2. Search named natural=water OSM Ways within max. 1000 m.
3. Compare COMPLETE normalized LAV and OSM names.
4. Do NOT remove See/Teich/Kiesgrube/etc.
5. Similarity must be >=60%.
6. Exactly ONE qualifying OSM Way is required.
7. Marker is taken from that exact OSM Way geometry in the local PBF.
8. Multiple >=60% candidates are deliberately NOT added.

Unique matches written: 186
Ambiguous cases not written: 14

seehäuser seewiesen -> Seehäuser See | way 254154689 | 192 m | similarity 81.2% | marker 52.0987038,11.2914519
alte kiesgrube (rabe) bei groß ammensleben -> Alte Kiesgrube (Rabe) | way 159693895 | 447 m | similarity 65.5% | marker 52.2429342,11.5458647
jersleber see -> Jersleber See | way 6108850 | 216 m | similarity 100.0% | marker 52.2318441,11.5871259
zielitzer see -> Zielitzer See | way 171891411 | 418 m | similarity 100.0% | marker 52.2886767,11.6868247
steinbruch dahlenwarsleben -> Steinbruch Dahlenwarsleben | way 67152293 | 372 m | similarity 100.0% | marker 52.1909794,11.5651126
altes bad wellen -> Alte Badeanstalt | way 275963101 | 427 m | similarity 62.5% | marker 52.1435894,11.4486741
steinbruch heinrichsthal -> Heinrichstalsee | way 43185086 | 431 m | similarity 61.5% | marker 52.0634296,11.8196396
schweinekolk bei niegripp -> Schweinekolk | way 96745128 | 15 m | similarity 64.9% | marker 52.2649055,11.7553645
katzenkolk bei schartau -> Katzenkolk | way 176309335 | 227 m | similarity 60.6% | marker 52.2792477,11.7735949
dunker-see burg -> Dunker See | way 286937346 | 227 m | similarity 80.0% | marker 52.2934828,11.8264325
käthe-kolk menz -> Köthekolk | way 97104051 | 541 m | similarity 66.7% | marker 52.1060408,11.7463154
gr. gehrenscher see -> Gehrendscher See (Großer See) | way 143371886 | 101 m | similarity 68.2% | marker 52.3506580,11.9219267
zernau-see bei mützel -> Zernausee | way 19853630 | 442 m | similarity 60.0% | marker 52.3753778,12.1724673
badeteich bei güsen -> Badeteich Güsen | way 176298398 | 310 m | similarity 88.2% | marker 52.3474914,11.9724086
baggerelbe bei derben -> Elbe/Altarm Baggerelbe Derben | way 1230430858 | 554 m | similarity 68.0% | marker 52.4253385,11.9948563
waldmühlenlanke bei parey -> Waldmühlenlanke | way 1136247588 | 193 m | similarity 75.0% | marker 52.3686061,11.9614512
herrensee parey -> Herrensee | way 304344414 | 275 m | similarity 75.0% | marker 52.3630134,11.9422410
prödeler see - 2 teiche -> Prödeler See | way 45207698 | 539 m | similarity 72.7% | marker 52.0250868,11.8964952
griebensee bei prödel -> Grieben See | way 168134309 | 220 m | similarity 62.5% | marker 52.0204807,11.9013901
lübser see -> Lübser See | way 168134307 | 705 m | similarity 100.0% | marker 52.0125308,11.9087394
rosianer stau -> Rosianerbruch | way 167133505 | 52 m | similarity 69.2% | marker 52.0944378,12.1784734
halberstädter see 1 (badesee) -> Halberstädter See | way 150036890 | 620 m | similarity 77.3% | marker 51.9127514,11.0859444
halberstädter see ii -> Halberstädter See | way 150036890 | 446 m | similarity 91.9% | marker 51.9127514,11.0859444
erichsburger teich bei friedrichsbrunn -> Erichsburger Teich | way 35331539 | 518 m | similarity 64.3% | marker 51.6752824,11.0669739
bergrat-müller teich bei friedrichsbrunn -> Bergrat Müller Teich | way 41416110 | 249 m | similarity 66.7% | marker 51.6794461,11.0648109
neuer teich bei gernrode -> Neuer Teich | way 59572316 | 687 m | similarity 62.9% | marker 51.7062307,11.1051042
großer dachsteich bei ballenstedt -> Großer Dachsteich | way 38079829 | 549 m | similarity 66.7% | marker 51.7138419,11.2167647
großer siebersteinsteich bei ballenstedt -> Großer Siebersteinteich | way 146353327 | 498 m | similarity 72.1% | marker 51.7086688,11.1762976
kleiner siebersteinsteich bei ballenstedt -> Kleiner Siebersteinteich | way 184363337 | 369 m | similarity 73.8% | marker 51.7192954,11.1963154
gondelteich thale -> Gondelteich | way 5327967 | 264 m | similarity 78.6% | marker 51.7581681,11.0323233
glockenteich ballenstedt -> Glockenteich | way 34907061 | 364 m | similarity 66.7% | marker 51.7169219,11.2139957
flottenteich weddersleben -> Flottenteich | way 24899836 | 608 m | similarity 64.9% | marker 51.7651025,11.0947894
ochsensumpfteich (früher petersstichel) -> Ochsensumpfteich | way 125871908 | 304 m | similarity 60.4% | marker 51.7186172,11.0278748
dorfteich opperode -> Dorfteich | way 179186485 | 267 m | similarity 66.7% | marker 51.7178701,11.2621437
lüttgenbörnecke bei börnecke -> Lüttgenbörnecker Teich | way 109285362 | 296 m | similarity 76.0% | marker 51.8290689,11.0243238
gondelteich aschersleben -> Gondelteich | way 1194097077 | 187 m | similarity 62.9% | marker 51.7481010,11.4395800
lettenloch bei könnern -> Lettenloch | way 102707955 | 340 m | similarity 62.5% | marker 51.6726431,11.7540934
großer wiendorfer teich -> Großer Wiendorfer Teich | way 33972938 | 310 m | similarity 100.0% | marker 51.7158175,11.8230224
dorfteich bründel -> Dorfteich | way 166350093 | 336 m | similarity 69.2% | marker 51.7469501,11.6496409
dorfteich plötzkau -> Dorfteich | way 194256798 | 372 m | similarity 66.7% | marker 51.7466897,11.6806474
saalealtarm lesewitz bei plötzkau -> Saalealtarm Lesewitz | way 128212117 | 478 m | similarity 75.5% | marker 51.7489348,11.7111468
parkteich bei brumby -> Parkteich | way 43074261 | 72 m | similarity 62.1% | marker 51.9002469,11.6820926
beamtenteich grube alfred -> Beamtenteich | way 33950988 | 497 m | similarity 64.9% | marker 51.9433660,11.8053945
pappelteich grube alfred -> Pappelteich | way 33950992 | 457 m | similarity 62.9% | marker 51.9460596,11.8016010
