lavNumber;catalogName;atlasName;latitude;longitude;featureId;geometryType;status
8-460-41;Tiefe Lache mit Graben und Loch;Tiefe Lache mit Graben und Loch bei Seegrehna;51.86;12.53;v_gewaesser.fid-36945e2d_19febabadac_6ba3;MultiPolygon;AUTO_CANDIDATE
8-460-42;Krummer See (Bodemar) bei Seegrehna;Krummer See (Bodemar) bei Seegrehna;51.85;12.55;v_gewaesser.fid-36945e2d_19febabadac_6ba4;MultiPolygon;AUTO_CANDIDATE
8-460-53;Alte Elbe Merschwitz;Alte Elbe Merschwitz;51.73;12.79;v_gewaesser.fid-36945e2d_19febabadac_6bae;MultiPolygon;AUTO_CANDIDATE
8-460-56;Booser Graben vom Booser Riß zur Elbe;;;;;;UNMATCHED
9-150-15;Mittelgraben v. Stollengraben bis;Mittelgraben v. Stollengraben bis Schöpfwerk Wansleben;51.4766667;11.7333333;v_gewaesser.fid-36945e2d_19febabadac_6a17;MultiPolygon;AUTO_CANDIDATE
9-150-17;Südlicher Ringkanal von;Südlicher Ringkanal von Einleitstelle Romonta zwischen Unterröblingen und Amsdorf bis zur Salza;51.48;11.74;v_gewaesser.fid-36945e2d_19febabadac_6ddf;MultiPolygon;AUTO_CANDIDATE
9-390-04;Toter Arm „Eichgraben“ bei Wallhausen;Toter Arm „Eichgraben“ bei Wallhausen;51.45;11.21;v_gewaesser.fid-36945e2d_19febabadac_6cf3;MultiPolygon;AUTO_CANDIDATE
9-390-17;Mühlgraben vom Wehr Hornissenberg;Mühlgraben vom Wehr Hornissenberg bis Einmündung in die Helme;51.46;11.07;v_gewaesser.fid-36945e2d_19febabadac_6a18;MultiPolygon;AUTO_CANDIDATE
10-210-09;Mühlgraben von Saalealtarm Hohen-;Mühlgraben;51.43;11.92;v_gewaesser.fid-36945e2d_19febabadac_6de6;MultiPolygon;AUTO_CANDIDATE
10-290-13;Saale-Leipzig-Kanal;Saale-Leipzig-Kanal Km 7,55-7,71/8,53-10,48/10,83-10,95/11,08-11,21;51.35;12.16;v_gewaesser.fid-36945e2d_19febabadac_69ac;MultiPolygon;AUTO_CANDIDATE
10-290-14;Saale im Altkreis Merseburg;Saale im Altkreis Merseburg (Oberwasser Wehr Bad Dürrenberg bis Straßenbrücke B91);51.3616667;12.0125;v_gewaesser.fid-36945e2d_19febabadac_69a9;MultiPolygon;LOCKED
10-290-16;Kanal Wüsteneutsch km 1, 32 - 1, 62;Kanal Wüsteneutsch km 1,32 - 1,62;51.33;12.07;v_gewaesser.fid-36945e2d_19febabadac_69a6;MultiPolygon;AUTO_CANDIDATE
10-290-25;Umgehungskanal Merseburg;Umgehungskanal Merseburg;51.36;12.01;v_gewaesser.fid-36945e2d_19febabadac_6e27;MultiPolygon;AUTO_CANDIDATE
10-290-26;Saalealtarm Leuna;Saalealtarm Leuna;51.33;12.03;v_gewaesser.fid-36945e2d_19febabadac_6e03;MultiPolygon;AUTO_CANDIDATE
