lavNumber;catalogName;district;atlasName;latitude;longitude;featureId;geometryType;officialMatch
10-370-20;Saalealtarm Dobis – NSG beachten-;Saalekreis;Saalealtarm Dobis;51.62;11.75;v_gewaesser.fid-36945e2d_19febabadac_6bfb;MultiPolygon;YES
10-370-27;Saalealtarm Stollen Wettin;Saalekreis;Saalealtarm Stollen Wettin;51.6;11.77;v_gewaesser.fid-36945e2d_19febabadac_6bff;MultiPolygon;YES
10-370-45;Teich am Rodelberg;Saalekreis;Teich am Rodelberg;51.5;12.17;v_gewaesser.fid-36945e2d_19febabadac_6c0b;MultiPolygon;YES
11-300-06;Saale von Landesgrenze Thüringen;Burgenlandkreis;Saale von Landesgrenze Thüringen bis Eisenbahnbrücke bei Eulau;51.1583333;11.8116667;v_gewaesser.fid-36945e2d_19febabadac_69b0;MultiPolygon;YES
11-300-07;Kl. Saale v. Bad Kösen b. Almrich;Burgenlandkreis;Kl. Saale v. Bad Kösen b. Almrich;51.14;11.75;v_gewaesser.fid-36945e2d_19febabadac_6e30;MultiPolygon;YES
11-310-01;Unstrutaltarm bei Memleben/;Burgenlandkreis;Unstrutaltarm bei MemlebenWendelstein;51.28;11.46;v_gewaesser.fid-36945e2d_19febabadac_6c16;MultiPolygon;YES
11-310-03;Restarm der Unstrut unter der Katzel;Burgenlandkreis;Restarm der Unstrut unter der Katzel bei Reinsdorf;51.29;11.61;v_gewaesser.fid-36945e2d_19febabadac_6ced;MultiPolygon;YES
11-310-04;Unstrutflutkanal von Landesgrenze;Burgenlandkreis;Unstrutflutkanal von Landesgrenze bis Mündung in die Unstrut;51.27;11.46;v_gewaesser.fid-36945e2d_19febabadac_69b6;MultiPolygon;YES
11-310-05;Unstrut von Landesgrenze Thüringen;Burgenlandkreis;Unstrut von Landesgrenze bis zur Mündung in die Saale;51.2344444;11.6577778;v_gewaesser.fid-36945e2d_19febabadac_6e31;MultiPolygon;YES
11-440-02;Saale von Eisenbahnbrücke bei Eulau;Burgenlandkreis;Saale von Eisenbahnbrücke bei Eulau bis Kleinkorbetha beidseitig und von Kleinkorbetha bis Einlauf Schleusengraben Bad Dürrenberg rechtsseitig;51.2322222;11.9944444;v_gewaesser.fid-36945e2d_19febabadac_69f3;MultiPolygon;YES
11-440-05;Alter Saalearm Uichteritz;Burgenlandkreis;Alter Saalearm Uichteritz;51.2;11.92;v_gewaesser.fid-36945e2d_19febabadac_6c19;MultiPolygon;YES
11-443-01;Saale von Kleinkorbetha bis Einlauf;Burgenlandkreis;Alte Saale Tebnitz;51.27;12.04;v_gewaesser.fid-36945e2d_19febabadac_6c1a;MultiPolygon;YES
